RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
6,true,1,28,101,10,0,3,0
8,true,1,40,111,48,9,7,4
8,true,0,143,42,4,57,3,10
12,true,1,75,139,47,7,10,3
9,true,0,130,29,3,38,1,7
13,true,0,100,91,6,20,3,7
7,true,0,100,44,9,52,4,7
9,true,1,81,114,23,7,4,4
13,true,1,68,119,35,10,6,4
8,true,1,48,111,26,8,7,3
3,true,0,100,13,4,67,1,10
8,true,1,67,105,26,9,7,3
10,true,0,110,37,1,15,1,4
7,true,0,141,64,5,54,1,10
8,true,1,87,137,47,2,10,1
7,true,1,5,102,13,7,6,4
4,true,0,121,24,0,24,0,7
8,true,1,82,118,10,0,4,0
9,true,0,117,57,9,42,2,7
9,true,0,116,52,8,27,3,7
