Game,Rounds,P0 Score,P1 Score,Winner
0,15,112,80,0
1,12,112,89,0
2,9,109,62,0
3,10,113,67,0
4,9,109,60,0
5,11,18,102,1
6,11,100,83,0
7,11,124,63,0
8,8,101,48,0
9,8,104,36,0
10,16,63,121,1
11,6,103,48,0
12,9,68,133,1
13,12,115,58,0
14,9,153,47,0
15,9,102,4,0
16,4,12,109,1
17,11,109,16,0
18,14,115,70,0
19,13,91,112,1
20,13,124,57,0
21,10,95,104,1
22,8,145,12,0
23,14,129,99,0
24,11,115,85,0
25,12,45,108,1
26,9,33,103,1
27,5,110,21,0
28,9,58,106,1
29,4,107,0,0
30,3,103,3,0
31,14,62,146,1
32,10,99,113,1
33,5,106,13,0
34,9,100,56,0
35,13,126,78,0
36,9,108,50,0
37,4,4,130,1
38,11,107,55,0
39,9,69,137,1
40,8,109,51,0
41,11,110,86,0
42,17,119,53,0
43,13,77,116,1
44,8,42,102,1
45,15,105,86,0
46,7,41,105,1
47,11,39,105,1
48,11,105,54,0
49,11,129,47,0
