RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
9,true,1,73,100,42,3,10,1
6,true,0,129,20,0,38,0,7
6,true,0,139,90,0,21,0,6
10,true,0,107,48,9,27,4,7
10,true,0,106,50,8,31,4,7
9,true,1,68,102,19,8,7,3
8,true,0,124,27,1,35,1,7
7,true,0,116,56,10,38,4,7
14,true,1,88,100,19,8,6,3
13,true,0,109,83,7,19,4,3
12,true,1,69,112,39,8,7,4
10,true,0,107,40,10,23,4,7
6,true,1,26,106,31,3,6,1
7,true,1,97,112,32,8,6,4
11,true,0,135,75,0,12,0,3
4,true,1,12,100,29,9,7,1
7,true,1,24,101,25,10,7,3
4,true,0,134,23,0,44,0,7
11,true,1,73,107,15,7,6,3
9,true,0,104,58,8,13,4,4
7,true,0,103,64,8,17,4,4
8,true,1,93,111,22,8,7,4
8,true,1,53,100,21,9,5,4
6,true,0,102,66,6,13,4,3
10,true,1,52,109,22,1,7,1
6,true,1,90,109,38,10,10,4
6,true,1,41,116,64,9,10,4
6,true,0,113,56,8,26,3,7
7,true,1,47,101,20,6,4,4
13,true,0,104,98,2,19,1,7
8,true,0,100,39,9,13,4,6
6,true,1,15,121,32,7,6,3
6,true,1,19,107,38,9,10,4
5,true,0,111,39,10,74,1,10
9,true,0,104,63,8,29,4,4
8,true,0,103,64,9,29,3,7
11,true,0,126,16,9,36,4,7
3,true,0,116,1,10,46,4,7
8,true,1,56,111,24,8,7,4
9,true,0,140,10,0,17,0,6
12,true,1,71,125,33,7,7,4
7,true,1,67,122,63,9,10,4
8,true,0,108,63,8,24,4,7
2,true,0,101,0,9,66,3,10
10,true,0,110,68,8,32,3,7
9,true,0,104,28,8,30,3,7
3,true,0,128,0,10,47,3,10
7,true,1,63,100,28,4,7,2
11,true,0,142,63,7,58,4,10
9,true,0,103,70,10,28,4,7
